Month/Year,Avg_Temp(C),Dew_Point(C),Wind_Speed(miles/hr),Pressure(Hg),Population,Domestic,Non-Domestic,Other,Enroute,Leakages,Losses,Total_Water_Demand,
01-01-2001,24.04,15.59,3.3,29.41,16496000,2841,700,71,90,740,178,4620,
01-02-2001,23.98,16.48,3.56,28.92,16511836,2844.619434,700,70.89238868,90,739.3784,178.127804,4623.3726,
01-03-2001,25.90,19.34,4.78,29.4,16527688,2848.243479,700,70.96486958,90,738.7573221,178.2556998,4626.747662,
01-04-2001,28.17,21.11,5.77,29.35,16543554,2851.872141,700,71.03744283,90,738.136766,178.3836874,4630.125188,
01-05-2001,29.38,23.62,8.28,29.33,16559436,2855.505426,700,71.11010853,90,737.5167311,178.5117668,4633.505179,
01-06-2001,28.24,23.26,10.87,27.9,16575333,2859.14334,700,71.18286681,90,736.8972171,178.6399383,4636.887638,
01-07-2001,27.53,22.90,10.87,28.74,16591245,2862.785889,700,71.25571778,90,736.2782234,178.7682018,4640.272566,
01-08-2001,27.93,22.56,8.89,29.35,16607173,2866.433078,700,71.32866156,90,735.6597497,178.8965573,4643.659965,
01-09-2001,28.26,23.39,5.5,29.59,16623116,2870.084914,700,71.40169828,90,735.0417955,179.0250051,4647.049837,
01-10-2001,28.63,22.24,5.16,29.07,16639074,2873.741402,700,71.47482804,90,734.4243604,179.153545,4650.442183,
01-11-2001,28.20,17.27,4.15,28.84,16655047,2877.402549,700,71.54805097,90,733.8074439,179.2821773,4653.837006,
01-12-2001,26.61,16.91,2.92,29.79,16671036,2881.06836,700,71.62136719,90,733.1910457,179.4109019,4657.234307,
01-01-2002,24.28,13.71,3.78,29.47,16683000,2884.738841,700,71.69477681,90,732.5751652,179.5397189,4660.634088,
02-01-2002,25.30,14.62,3.89,29.65,16698849,2888.413998,700,71.76827996,90,731.9598021,179.6686284,4664.036351,
03-01-2002,26.78,16.47,4.9,29.75,16714713,2892.093837,700,71.84187675,90,731.3449558,179.7976305,4667.441097,
04-01-2002,29.07,21.26,4.67,29.57,16730592,2895.778365,700,71.9155673,90,730.7306261,179.9267252,4670.848329,
05-01-2002,29.42,23.09,6.87,29.58,16746486,2899.467587,700,71.98935173,90,730.1168123,180.0559126,4674.258049,
01-06-2002,28.41,23.60,7,29.17,16762395,2903.161508,700,72.06323016,90,729.5035142,180.1851927,4677.670257,
01-07-2002,29.60,23.53,9.3,29.65,16778319,2906.860136,700,72.13720272,90,728.8907313,180.3145657,4681.084956,
01-08-2002,27.64,22.99,7.07,29.12,16794259,2910.563476,700,72.21126952,90,728.278463,180.4440315,4684.502148,
01-09-2002,29.36,21.48,3.94,29.6,16810213,2914.271534,700,72.28543067,90,727.6667091,180.5735904,4687.921835,
01-10-2002,29.61,20.21,5.4,29.04,16826183,2917.984316,700,72.35968631,90,727.0554691,180.7032422,4691.344018,
01-11-2002,28.49,18.25,5.18,29.24,16842168,2921.701828,700,72.43403655,90,726.4447425,180.8329871,4694.768699,
01-12-2002,25.18,16.43,5.53,29.25,16858168,2925.424076,700,72.50848151,90,725.8345289,180.9628252,4698.19588,
01-01-2003,24.72,15.99,5.51,28.41,16872000,2929.151066,700,72.58302132,90,725.2248279,181.0927565,4701.625563,
02-01-2003,25.92,18.09,6.13,29.52,16887910,2932.882804,700,72.65765609,90,724.6156391,181.2227811,4705.05775,
01-03-2003,27.21,17.60,6.54,29.67,16903836,2936.619297,700,72.73238594,90,724.0069619,181.3528991,4708.492442,
01-04-2003,28.41,21.62,7.53,29.55,16919776,2940.36055,700,72.807211,90,723.3987961,181.4831105,4711.929641,
01-05-2003,29.44,22.31,8.28,29.48,16935731,2944.106569,700,72.88213139,90,722.7911411,181.6134153,4715.36935,
01-06-2003,27.97,22.99,7.47,29.2,16951702,2947.857361,700,72.95714723,90,722.1839965,181.7438138,4718.81157,
01-07-2003,27.71,22.42,7.72,28.34,16967687,2951.612932,700,73.03225863,90,721.577362,181.8743058,4722.256302,
01-08-2003,28.16,22.02,8.11,29.53,16983688,2955.373286,700,73.10746573,90,720.971237,182.0048916,4725.703549,
01-09-2003,28.01,21.51,6.9,29.61,16999703,2959.138432,700,73.18276864,90,720.3656211,182.1355711,4729.153313,
01-10-2003,29.82,18.96,7.88,29.73,17015734,2962.908374,700,73.25816749,90,719.760514,182.2663444,4732.605595,
01-11-2003,28.11,18.11,3.81,29.86,17031780,2966.68312,700,73.33366239,90,719.1559152,182.3972117,4736.060397,
01-12-2003,22.96,15.67,3.95,29.91,17047841,2970.462674,700,73.40925348,90,718.5518242,182.5281729,4739.517721,
01-01-2004,21.23,13.38,3.51,29.78,17064000,2974.247043,700,73.48494087,90,717.9482407,182.6592281,4742.977569,
01-02-2004,23.54,14.97,4.62,29.81,17080006,2978.036234,700,73.56072468,90,717.3451642,182.7903774,4746.439942,
01-03-2004,28.20,17.98,4.15,29.79,17096027,2981.830252,700,73.63660505,90,716.7425942,182.9216209,4749.904844,
01-04-2004,28.49,21.29,8.25,29.77,17112063,2985.629104,700,73.71258208,90,716.1405305,183.0529586,4753.372274,
01-05-2004,29.74,21.47,7.5,29.64,17128114,2989.432795,700,73.78865591,90,715.5389724,183.1843907,4756.842236,
01-06-2004,28.81,22.05,9.91,29.61,17144180,2993.241333,700,73.86482666,90,714.9379197,183.315917,4760.314731,
01-07-2004,27.68,22.49,7.32,29.66,17160262,2997.054722,700,73.94109445,90,714.3373718,183.4475379,4763.78976,
01-08-2004,27.57,21.13,9.82,29.69,17176358,3000.87297,700,74.0174594,90,713.7373284,183.5792532,4767.267327,
01-09-2004,28.28,22.93,3.43,29.76,17192469,3004.696082,700,74.09392164,90,713.1377891,183.7110631,4770.747432,
01-10-2004,27.35,18.91,3.69,29.85,17208596,3008.524065,700,74.1704813,90,712.5387533,183.8429677,4774.230078,
01-11-2004,27.72,17.83,4.1,29.88,17224738,3012.356925,700,74.24713849,90,711.9402208,183.9749669,4777.715266,
01-12-2004,26.30,16.06,4.01,29.9,17240894,3016.194667,700,74.32389335,90,711.342191,184.1070609,4781.202998,
01-01-2005,24.67,14.22,4.7,29.89,17257000,3020.037299,700,74.40074599,90,710.7446636,184.2392498,4784.693276,
01-02-2005,27.14,14.61,5.44,29.86,17273256,3023.884827,700,74.47769654,90,710.147638,184.3715336,4788.186102,
01-03-2005,27.35,18.77,6.79,29.85,17289528,3027.737256,700,74.55474512,90,709.551114,184.5039123,4791.681478,
01-04-2005,29.21,19.61,6.1,29.75,17305814,3031.594593,700,74.63189187,90,708.9550911,184.6363862,4795.179405,
01-05-2005,29.55,19.18,6.84,29.75,17322116,3035.456845,700,74.7091369,90,708.3595688,184.7689551,4798.679886,
01-06-2005,29.86,21.21,8.32,29.61,17338434,3039.324017,700,74.78648034,90,707.7645468,184.9016192,4802.182923,
01-07-2005,28.08,22.92,8.62,29.58,17354767,3043.196116,700,74.86392232,90,707.1700245,185.0343785,4805.688516,
01-08-2005,27.27,22.28,7.67,29.61,17371115,3047.073148,700,74.94146295,90,706.5760017,185.1672332,4809.196669,
01-09-2005,27.13,22.64,6.77,29.65,17387478,3050.955119,700,75.01910238,90,705.9824779,185.3001833,4812.707382,
01-10-2005,28.04,20.32,2.93,29.76,17403857,3054.842036,700,75.09684071,90,705.3894526,185.4332288,4816.220659,
01-11-2005,26.80,15.02,3.06,29.87,17420252,3058.733904,700,75.17467809,90,704.7969255,185.5663699,4819.7365,
01-12-2005,25.36,14.59,3.27,29.87,17436662,3062.630731,700,75.25261463,90,704.204896,185.6996065,4823.254908,
01-01-2006,25.13,14.33,3.09,29.91,17453000,3066.532523,700,75.33065046,90,703.6133639,185.8329389,4826.775884,
01-02-2006,27.21,14.59,3.39,29.87,17469336,3070.439285,700,75.40878571,90,703.0223287,185.9663669,4830.29943,
01-03-2006,27.21,19.34,4.78,29.82,17485687,3074.351025,700,75.4870205,90,702.43179,186.0998908,4833.825549,
01-04-2006,28.10,21.14,5.18,29.78,17502054,3078.267748,700,75.56535496,90,701.8417472,186.2335105,4837.354241,
01-05-2006,29.28,22.34,6.36,29.72,17518436,3082.189461,700,75.64378923,90,701.2522002,186.3672261,4840.88551,
01-06-2006,28.46,22.70,6.77,29.57,17534833,3086.116171,700,75.72232341,90,700.6631483,186.5010378,4844.419356,
01-07-2006,27.34,22.92,12.33,29.63,17551246,3090.047883,700,75.80095765,90,700.0745913,186.6349456,4847.955782,
01-08-2006,26.58,22.72,10.86,29.68,17567674,3093.984604,700,75.87969207,90,699.4865286,186.7689495,4851.49479,
01-09-2006,27.24,22.83,5.07,29.73,17584117,3097.92634,700,75.9585268,90,698.8989599,186.9030496,4855.036381,
01-10-2006,29.06,20.99,3.63,29.85,17600576,3101.873098,700,76.03746197,90,698.3118848,187.0372459,4858.580558,
01-11-2006,28.24,17.41,3.88,29.86,17617050,3105.824885,700,76.11649769,90,697.7253028,187.1715387,4862.127322,
01-12-2006,26.61,15.97,3.46,29.91,17633539,3109.781705,700,76.19563411,90,697.1392136,187.3059279,4865.676675,
01-01-2007,25.78,16.07,3.57,29.89,17650000,3113.743567,700,76.27487135,90,696.5536166,187.4404135,4869.228619,
01-02-2007,25.89,17.78,4.5,29.87,17666662,3117.710477,700,76.35420953,90,695.9685116,187.5749957,4872.783156,
01-03-2007,28.13,17.71,5.37,29.83,17683339,3121.68244,700,76.4336488,90,695.3838981,187.7096746,4876.340287,
01-04-2007,29.58,16.62,5.25,29.78,17700032,3125.659463,700,76.51318927,90,694.7997756,187.8444501,4879.900016,
01-05-2007,30.17,22.12,6.79,29.74,17716741,3129.641553,700,76.59283107,90,694.2161438,187.9793224,4883.462343,
01-06-2007,29.02,25.09,8.73,29.59,17733465,3133.628717,700,76.67257434,90,693.6330022,188.1142916,4887.02727,
01-07-2007,28.16,23.64,10.11,29.61,17750206,3137.62096,700,76.75241919,90,693.0503505,188.2493577,4890.5948,
01-08-2007,27.91,24.23,10.18,29.65,17766962,3141.618289,700,76.83236578,90,692.4681882,188.3845207,4894.164934,
01-09-2007,28.07,24.36,6.06,29.66,17783734,3145.620711,700,76.91241421,90,691.8865149,188.5197808,4897.737675,
01-10-2007,29.63,20.04,4.17,29.78,17800522,3149.628231,700,76.99256463,90,691.3053302,188.655138,4901.313023,
01-11-2007,28.73,17.59,4.24,29.86,17817326,3153.640858,700,77.07281715,90,690.7246338,188.7905924,4904.890982,
01-12-2007,27.07,16.34,4.38,29.88,17834145,3157.658596,700,77.15317192,90,690.1444251,188.926144,4908.471552,
01-01-2008,24.77,14.17,4.1,29.89,17851000,3161.681453,700,77.23362906,90,689.5647038,189.061793,4912.054736,
01-02-2008,24.60,13.34,4.78,29.88,17867744,3165.709435,700,77.31418871,90,688.9854694,189.1975394,4915.640536,
01-03-2008,28.14,19.31,4.89,29.78,17884504,3169.742549,700,77.39485098,90,688.4067216,189.3333832,4919.228954,
01-04-2008,29.63,19.84,6.08,29.76,17901280,3173.780801,700,77.47561602,90,687.82846,189.4693246,4922.819991,
01-05-2008,30.50,23.66,7.64,29.76,17918071,3177.824198,700,77.55648396,90,687.2506841,189.6053635,4926.41365,
01-06-2008,28.71,24.96,10.33,29.63,17934878,3181.872746,700,77.63745492,90,686.6733935,189.7415002,4930.009932,
01-07-2008,27.85,24.84,10.41,29.63,17951701,3185.926452,700,77.71852904,90,686.0965878,189.8777346,4933.608839,
01-08-2008,27.31,24.04,8.43,29.67,17968540,3189.985322,700,77.79970644,90,685.5202667,190.0140668,4937.210373,
01-09-2008,27.35,23.66,6,29.63,17985395,3194.049363,700,77.88098727,90,684.9444297,190.1504969,4940.814537,
01-10-2008,29.69,19.93,4.95,29.81,18002265,3198.118582,700,77.96237165,90,684.3690764,190.2870249,4944.421331,
01-11-2008,29.17,17.52,5.67,29.82,18019151,3202.192985,700,78.04385971,90,683.7942063,190.423651,4948.030759,
01-12-2008,27.70,17.25,4.74,29.87,18036053,3206.272579,700,78.12545159,90,683.2198192,190.5603752,4951.642822,
01-01-2009,26.36,15.53,5,29.82,18053000,3210.357371,700,78.20714741,90,682.6459145,190.6971976,4955.257521,
01-02-2009,26.75,15.69,5.86,29.79,18069934,3214.447366,700,78.28894732,90,682.072492,190.8341182,4958.874859,
01-03-2009,29.19,19.36,7.4,29.8,18086883,3218.542572,700,78.37085144,90,681.4995511,190.971137,4962.494837,
01-04-2009,30.29,22.22,7.76,29.74,18103849,3222.642995,700,78.4528599,90,680.9270915,191.1082543,4966.117459,
01-05-2009,30.15,24.01,8.86,29.7,18120830,3226.748642,700,78.53497284,90,680.3551127,191.2454701,4969.742724,
01-06-2009,29.97,24.57,9.26,29.66,18137828,3230.85952,700,78.6171904,90,679.7836144,191.3827843,4973.370637,
01-07-2009,27.59,25.41,11.22,29.6,18154841,3234.975635,700,78.6995127,90,679.2125962,191.5201971,4977.001197,
01-08-2009,28.16,24.93,9.57,29.67,18171870,3239.096994,700,78.78193988,90,678.6420576,191.6577086,4980.634408,
01-09-2009,28.32,25.09,6.92,29.73,18188915,3243.223604,700,78.86447207,90,678.0719983,191.7953189,4984.270271,
01-10-2009,29.21,21.02,6.07,29.79,18205977,3247.35547,700,78.94710941,90,677.5024178,191.9330279,4987.908788,
01-11-2009,28.17,19.69,5.97,29.81,18223054,3251.492601,700,79.02985203,90,676.9333158,192.0708358,4991.549962,
01-12-2009,26.97,17.03,5.37,29.87,18240147,3255.635003,700,79.11270006,90,676.3646918,192.2087427,4995.193793,
01-01-2010,26.90,14.85,5.79,29.91,18257000,3259.782682,700,79.19565364,90,675.7965454,192.3467486,4998.840285,
01-02-2010,26.68,16.23,6.16,29.84,18274162,3263.935645,700,79.2787129,90,675.2288763,192.4848535,5002.489438,
01-03-2010,28.68,20.32,6.89,29.83,18291339,3268.093899,700,79.36187798,90,674.6616841,192.6230577,5006.141255,
01-04-2010,30.64,23.06,7.49,29.77,18308533,3272.257451,700,79.44514901,90,674.0949683,192.761361,5009.795739,
01-05-2010,31.08,25.09,8.68,29.68,18325743,3276.426307,700,79.52852613,90,673.5287285,192.8997637,5013.45289,
01-06-2010,29.19,25.44,8.11,29.65,18342969,3280.600474,700,79.61200947,90,672.9629644,193.0382657,5017.11271,
01-07-2010,27.54,25.49,8.79,29.62,18360212,3284.779959,700,79.69559917,90,672.3976755,193.1768672,5020.775202,
01-08-2010,27.42,25.29,8.18,29.65,18377470,3288.964768,700,79.77929537,90,671.8328614,193.3155682,5024.440368,
01-09-2010,28.30,24.80,6.38,29.7,18394745,3293.154909,700,79.86309819,90,671.2685218,193.4543687,5028.10821,
01-10-2010,29.02,23.67,5.3,29.73,18412036,3297.350389,700,79.94700778,90,670.7046563,193.593269,5031.778729,
01-11-2010,28.63,22.16,5.91,29.79,18429344,3301.551213,700,80.03102426,90,670.1412643,193.7322689,5035.451927,
01-12-2010,25.35,15.54,4.92,29.81,18446667,3305.757389,700,80.11514779,90,669.5783457,193.8713687,5039.127807,
01-01-2011,25.33,13.58,4.07,29.85,18464000,3310,700,80.2,90,669,194,5043,
01-02-2011,26.37,15.20,4.71,29.83,18481356,3313.42254,700,80.2684508,90,667.95636,194.104954,5045.783736,
01-03-2011,29.23,16.85,5.48,29.77,18498729,3316.848619,700,80.33697238,90,666.9143481,194.2099648,5048.569009,
01-04-2011,28.80,23.42,6.28,29.74,18516117,3320.27824,700,80.40556481,90,665.8739617,194.3150324,5051.355819,
01-05-2011,29.83,24.53,8.03,29.74,18533523,3323.711408,700,80.47422816,90,664.8351983,194.4201568,5054.144167,
01-06-2011,28.81,25.66,9.64,29.6,18550944,3327.148126,700,80.54296251,90,663.7980554,194.5253381,5056.934055,
01-07-2011,27.41,25.39,8.93,29.59,18568382,3330.588397,700,80.61176794,90,662.7625304,194.6305763,5059.725482,
01-08-2011,27.47,25.31,8.7,29.62,18585836,3334.032225,700,80.6806445,90,661.7286209,194.7358715,5062.518451,
01-09-2011,27.62,24.61,7.68,29.69,18603307,3337.479615,700,80.74959229,90,660.6963242,194.8412236,5065.312961,
01-10-2011,29.43,21.94,5.41,29.79,18620794,3340.930568,700,80.81861137,90,659.665638,194.9466327,5068.109014,
01-11-2011,29.59,17.59,4.94,29.82,18638298,3344.385091,700,80.88770181,90,658.6365596,195.0520988,5070.90661,
01-12-2011,27.05,15.57,4.16,29.84,18655818,3347.843185,700,80.9568637,90,657.6090865,195.157622,5073.70575,
01-01-2012,23.92,13.16,5.2,29.88,18674000,3351.304855,700,81.02609709,90,656.5832164,195.2632023,5076.506436,
01-02-2012,25.81,12.47,5.18,29.83,18691554,3354.770104,700,81.09540208,90,655.5589466,195.3688396,5079.308667,
01-03-2012,27.18,16.86,6,29.81,18709124,3358.238936,700,81.16477872,90,654.5362746,195.4745342,5082.112446,
01-04-2012,29.35,23.37,6.18,29.76,18726710,3361.711355,700,81.23422711,90,653.515198,195.5802859,5084.917772,
01-05-2012,29.40,24.36,8.55,29.74,18744313,3365.187365,700,81.3037473,90,652.4957143,195.6860948,5087.724647,
01-06-2012,29.41,24.87,9.6,29.64,18761933,3368.666969,700,81.37333937,90,651.477821,195.791961,5090.533071,
01-07-2012,28.26,25.31,10.54,29.61,18779569,3372.15017,700,81.4430034,90,650.4615156,195.8978845,5093.343045,
01-08-2012,27.84,24.89,9.3,29.66,18797222,3375.636973,700,81.51273947,90,649.4467956,196.0038652,5096.15457,
01-09-2012,27.87,24.43,6.64,29.71,18814891,3379.127382,700,81.58254764,90,648.4336586,196.1099033,5098.967647,
01-10-2012,29.44,21.21,5.7,29.8,18832577,3382.6214,700,81.652428,90,647.4221021,196.2159988,5101.782278,
01-11-2012,27.81,16.83,5.3,29.83,18850280,3386.11903,700,81.72238061,90,646.4121236,196.3221516,5104.598461,
01-12-2012,26.54,16.43,5.24,29.85,18867999,3389.620277,700,81.79240555,90,645.4037207,196.4283619,5107.4162,
01-01-2013,24.14,14.38,4.77,29.91,18885000,3393.125145,700,81.8625029,90,644.3968909,196.5346297,5110.235494,
01-02-2013,26.11,16.61,5.53,29.87,18902752,3396.633636,700,81.93267272,90,643.3916318,196.6409549,5113.056344,
01-03-2013,28.61,16.51,6.22,29.8,18920520,3400.145755,700,82.00291511,90,642.3879408,196.7473377,5115.878751,
01-04-2013,29.05,21.62,7.16,29.77,18938306,3403.661506,700,82.07323012,90,641.3858156,196.853778,5118.702716,
01-05-2013,30.23,23.86,8.51,29.71,18956108,3407.180892,700,82.14361784,90,640.3852538,196.9602759,5121.52824,
01-06-2013,28.33,25.17,8.92,29.6,18973927,3410.703917,700,82.21407834,90,639.3862528,197.0668314,5124.355323,
01-07-2013,27.41,24.98,10.66,29.6,18991762,3414.230585,700,82.2846117,90,638.3888102,197.1734445,5127.183967,
01-08-2013,27.47,24.12,10.24,29.69,19009614,3417.760899,700,82.35521799,90,637.3929237,197.2801154,5130.014173,
01-09-2013,27.79,24.32,7.82,29.68,19027483,3421.294864,700,82.42589728,90,636.3985907,197.3868439,5132.845941,
01-10-2013,29.02,23.17,6.33,29.77,19045369,3424.832483,700,82.49664966,90,635.4058089,197.4936302,5135.679272,
01-11-2013,28.67,18.49,5.75,29.84,19063272,3428.37376,700,82.5674752,90,634.4145758,197.6004742,5138.514167,
01-12-2013,26.20,15.58,5.25,29.87,19081191,3431.918698,700,82.63837397,90,633.4248891,197.7073761,5141.350626,
01-01-2014,25.06,15.12,5.61,29.92,19099000,3435.467302,700,82.70934605,90,632.4367463,197.8143358,5144.188652,
01-02-2014,25.54,15.47,6.23,29.85,19117144,3439.019575,700,82.78039151,90,631.450145,197.9213533,5147.028244,
01-03-2014,28.14,17.64,6.47,29.85,19135305,3442.575522,700,82.85151043,90,630.4650827,198.0284288,5149.869404,
01-04-2014,29.06,22.02,6.76,29.8,19153484,3446.135145,700,82.9227029,90,629.4815572,198.1355622,5152.712132,
01-05-2014,30.36,23.96,7.55,29.74,19171680,3449.698449,700,82.99396897,90,628.499566,198.2427535,5155.556429,
01-06-2014,31.05,25.72,10.29,29.65,19189893,3453.265437,700,83.06530873,90,627.5191066,198.3500028,5158.402296,
01-07-2014,27.74,25.70,9.95,29.64,19208123,3456.836113,700,83.13672226,90,626.5401768,198.4573102,5161.249734,
01-08-2014,27.74,25.63,8.48,29.68,19226371,3460.410482,700,83.20820963,90,625.5627742,198.5646756,5164.098744,
01-09-2014,28.24,25.17,7.67,29.74,19244636,3463.988546,700,83.27977092,90,624.5868962,198.6720991,5166.949326,
01-10-2014,30.13,22.37,5.87,29.79,19262918,3467.57031,700,83.35140621,90,623.6125407,198.7795807,5169.801482,
01-11-2014,29.61,19.54,5.58,29.85,19281218,3471.155778,700,83.42311556,90,622.6397051,198.8871204,5172.655213,
